match,state,bill,status,summary,action,year,keep
19%,KS,HCR5017,Fail,Supporting the adoption of the COVID-19 Vaccine Bill of Rights,5/23/22,2022,0
35%,LA,HB1447,Intro,Enacts the Event Tickets Reform Act,4/21/10,2010,1
13%,LA,HB341,Engross,Provides relative to live event ticketing,4/25/23,2023,1
3%,MA,S1860,Intro,For legislation to establish sentencing guidelines,1/20/09,2009,0
14%,MA,H1518,Intro,Establish sentencing guidelines for convictions of criminal offenses in the Commonwealth,5/19/10,2010,0
35%,MA,H1893,Intro,Relative to the issuance and sale of sports and entertainment tickets,6/6/12,2012,1
35%,MA,H1893,Intro,Relative to the issuance and sale of sports and entertainment tickets,6/6/12,2012,0
35%,MA,H177,Intro,"For legislation reform the sale, resale and issuance of sports and entertainment tickets. Consumer Protection and Professional Licensure.",6/9/14,2014,1
35%,MA,H260,Intro,Relative to the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,7/29/14,2014,1
35%,MA,S160,Intro,For legislation to reform the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,6/9/14,2014,1
35%,MA,S144,Intro,For legislation relative to the fair distribution and pricing of event tickets. Consumer Protection and Professional Licensure.,6/9/14,2014,1
35%,MA,H177,Intro,"For legislation reform the sale, resale and issuance of sports and entertainment tickets. Consumer Protection and Professional Licensure.",6/9/14,2014,0
35%,MA,H260,Intro,Relative to the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,7/29/14,2014,0
35%,MA,S160,Intro,For legislation to reform the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,6/9/14,2014,0
35%,MA,S144,Intro,For legislation relative to the fair distribution and pricing of event tickets. Consumer Protection and Professional Licensure.,6/9/14,2014,0
26%,MA,S187,Intro,For legislation relative to the fair distribution and pricing of event tickets. Consumer Protection and Professional Licensure.,6/6/16,2016,1
13%,MA,H4335,Intro,To reform the issuance and sale of sports and entertainment tickets,5/26/16,2016,1
12%,MA,H237,Intro,Relative to the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,5/26/16,2016,1
